important,重要な，大事な
must,しなければならない，違いない
However,しかしながら，どんなに～でも
through,経て、～を通って
in front of,前の，の目の前で
mean,を意味する，意図する
between A and B,AとBの間
language,言葉，言語
fact,事実，現実
though,だけれども
until,までに，まで
international,国際的な
remember,覚えている，を思い出す
behind,背後に，の後ろに
million,100万
result,結果，成果
enough,十分な，足りている
moment,瞬間，瞬時
distance,距離，間隔
possible,可能な，可能性のある
already,すでに，もう
Although,だけれども，けれども
recommend,を推薦する，を勧める
compare,を比較する，をたとえる
meanwhile,一方で，他方で
disturb,を阻害する，邪魔をする
a number of,たくさんの，多量の
in detail,詳細に，細かく
unfortunately,残念なことに，不幸にも
vehicle,乗り物，車
disease,病気，疾患
device,装置，仕掛け
remain,のままである，残る
environment,環境，周囲
recently,最近，このごろ
unlike,と異なって，とは違って
solution,解決法，解明
remind,に思い出させる，に気付かせる
arrest,を逮捕する，捕まえる
detect,を検出する，を感知する
as a result,結果として
contain,を含む，が入っている
consume,を消費する，消耗する
result in,結果として，結果～になる
repair,を修理する，修繕する
entirely,完全に，全く
reduce,を減らす，縮小する
benefit,利益/に利益をもたらす
lead to,に導く，～につながる
in particular,特に，とりわけ
modern,現代的な，現代の
customer,顧客，お客様
according to,によると
resident,住民，居住者
remove,を取り除く，を除去する
nevertheless,にも関わらず
attractive,魅力的な，興味をそそる
currency,通貨，流通
deal with,に対処する
university,大学
in addition,追加として，さらに
discover,を発見する
no longer,もはや～でない
in order to,～するために
permission,許可，認可
construction,建設，構造，建造物
organize,を組織する，を編成する
accompany,に付き添う，に同行する
foundation,土台，根拠，設立
similar,似ている，類似の
provide,を供給する，提供する
experiment,実験，試み
quality,質，特性
mess,混乱，錯乱
by chance,偶然に，たまたま
emphasize,を強調する，力説する
scientist,科学者
government,政府，行政府，内閣
therefore,それゆえ，だから
community,共同社会
portable,持ち運べる，携帯用の
estimate,を推定する，評価する
complicated,複雑な
climate,気候
affect,に影響を与える
predict,を予想する，を予測する
allow,を許可する，許す
inform,情報を与える，に知らせる
strategy,戦略，作戦
particular,特定の
immediately,即座に，すぐに
argue,だと主張する，感情的に論じる
ability,能力，力量
replace,を取り換える，を交換する
instead,代わりに，その代わり
develop,を発達させる，を開発する
moreover,さらに，その上
not only A but also B,AだけでなくBもまた
more and more,ますます多くの，更に
consider,について考える，だと見なす
employment,雇用
expense,費用，出費，犠牲
furthermore,さらに，その上
convert,を変える，転換する
pollution,汚染，汚れ
development,発展，発達，開発
be likely to,する可能性が高い，しそうになる
improve,を改善する，改良する
evidence,証拠
common,共通の，共同の
publish,を出版する，発行する
ill,病気で，気分の悪い
profit,利益，もうけ
extremely,極端に，過度に
on the other hand,一方で，他方で
suffer from,で苦しむ，悩まされる
rather,むしろ，どちらかといえば
invest in,に投資する
achieve,を達成する，到達する
keep up with,に遅れず付いていく
reach out,手を延ばす，手を差し出す
get along,うまくやる，仲良くやる
brain,頭脳，脳
for instance,例えば
chemical,化学物質/化学の
vote for,に賛成する，に投票する
in contrast,対照的に，これに対して
locate,見つける，位置を突きとめる
constant,絶え間ない，一定の
rare,まれな，珍しい
avoid,を避ける，を回避する
tolerate,に耐える，寛大に取り扱う
end up,最終的に，することになる
slightly,わずかに，少し
be born with,生まれつき，生来の
measure,措置，測るもの/を測る
rather than,よりむしろ，ではなくて
in charge of,の担当をして
attention,注意，注目
since then,それ以来，それ以降
approach,に近づく，接近する
additionally,加えて，さらに，追加で
obtain,を手に入れる，を獲得する
restore,を元に戻す，を修復する
poverty,貧困，貧乏
revolution,革命
raise,を上げる，持ち上げる
permit,を許可する
purchase,を購入する/購入
flexibility,しなやかさ，弾力性，柔軟性
on account of,のため
production,生産，製造
respond,反応する，と返答する
sympathy,同情，思いやり
anxiety,心配，不安
valuable,貴重な，価値のある
pain,痛み，苦痛
feature,特徴/を目玉とする
rely on,に頼る，を当てにする
embarrass,を恥ずかしがらせる
brilliant,優れた，光り輝く
efficient,効率のいい
prevent A from B,AをBから防ぐ
fertilizer,肥料
attach,を貼り付ける
manage,何とかうまくやる，管理を行う
theory,理論，学説
for example,例えば
turn A into B,AをBに変える
apply to,に適用する
at the same time,同時に，一斉に
on behalf of,の代わりに
spend,を費やす，使う
research,研究/研究する
such as,のような
decide,決心する，解決する
artificial,人工的な，人造の
in response to,に応じて，に反応して
politely,丁寧に
involve,を含む，を巻き込む
analyze,を分析する，分解する
certain,ある，確信している
equipment,装置、設備
psychologist,心理学者
excuse,言い訳/を許す
for fear of,を恐れて
ingredient,材料，原料，成分
annually,毎年の，年一回ずつ
made of,で出来ている
recommendation,推薦
translate,を翻訳する，通訳する
gravity,重力，引力
a variety of,いろいろな，さまざまな
be known as,として知られている
journey,旅，旅行
demand,要求，需要/を要求する
religion,宗教，信仰
probably,おそらく
amount,量，額
preserved,保存された
prevent,を妨げる，予防する
bilingual,二か国語を話せる
overall,全体的な，全部の
stare at,をじっと見つめる
adopt,を自分のものにする，を取り入れる
decrease,減少する，を減らす/減少
witness,目撃者，証人/を目撃する
make sure,を確かめる，必ず手配する
frequent,頻繁な，しばしば起こる
satisfy,を満足させる
complete,完全な，全部の
participate in,に参加する
previously,以前は，前もって
waste,を浪費する/浪費，廃棄物
accurate,正確な，的確な
bank account,銀行口座
enlarge,を拡大する
available,利用できる
accidentally,誤って，知らずに
increase,を増やす，増大させる
appointment,予定，約束
take after,をまねる，に似る
hear from,から便りがある，連絡をもらう
statistics,統計，統計学
in demand,需要のある
at any cost,どんな犠牲を払っても，何がなんでも
sight,見ること，視力
luxury,贅沢，高級な
attitude,態度，姿勢
related to,に関連する，に関して
quarrel,喧嘩，口論，言い争い
have effects on,に影響を与える
comfortable,心地の良い，快適な
certainly,確かに，間違いなく
composer,作曲家，構成者
in common,共通して
confuse,を混乱させる，区別がつかない
graduate,を卒業する
replacement,置き換え
deceive,を欺く，だます
in the meantime,とりあえず，それまでは
betray,を裏切る，をだます
historic,由緒のある，歴史に残る
occasion,特定の時，行事，祭典
reflection,反響，反射
at that time,あの時は
behave,振る舞う
one day,ある日，いつか
temporary,一時的な
ankle,足首
active,活動的な，活気のある
passage,通過，道，一節
spread,を広げる，広がる
arrange,整える，を配置する
decade,10年間
formation,形成，構成
economy,経済，節約
urgent,緊急の
guilty of,罪を犯して
degree,角度，温度
electric,電気の
envelope,封筒
deposit,お金を預ける，を預金する
disposal,処分
lesser,より少ない，いっそう少ない
condition,状態，条件
electricity,電力，電気
physical,身体の，肉体の
survey,調査/を見渡す
properly,適切に，ほどよく
instrument,楽器，器具
terminal,終りの，末端の
promote,を促進する
cope with,に対処する
not yet,まだ
barely,かろうじて，やっと
imitate,模倣する，真似る
five senses,五感
not always,必ずしも，ではない，いつもとは限らない
creature,生き物，生物
vote,投票する/投票権
stand out,目立つ，すぐれている
produce,を生産する，産出する
worth,の価値がある，(～するに)値する
insist on,するように強く求める，強調する
vacation,休暇
fear,を恐れる，恐がる/恐れ
endure,を我慢する，耐える
generous,気前のよい，寛容な
in response,に応じて，に対応して
cruel,残酷な，ひどい
substance,物質，実態
confident,自信のある
borrow,を借りる
capable of,ができる，可能で
particularly,特に，とりわけ
